DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,is_anomaly,hour,day_of_week,day_of_month,day_of_year,week_of_year,month,year,quarter,is_weekend,Global_active_power_lag_1,Global_active_power_lag_2,Global_active_power_lag_3,Global_active_power_lag_24,Global_active_power_lag_48,Global_active_power_lag_168,Global_active_power_roll_mean_3,Global_active_power_roll_std_3,Global_active_power_roll_mean_6,Global_active_power_roll_std_6,Global_active_power_roll_mean_12,Global_active_power_roll_std_12,Global_active_power_roll_mean_24,Global_active_power_roll_std_24,Global_active_power_roll_mean_168,Global_active_power_roll_std_168
2006-12-24 15:00:00,47.476,4.2379999999999995,243.1115384615385,15.23076923076923,393.0,242.0,0.0,0,15,6,24,358,51,12,2006,4,1,0.0,0.0,0.0,0.0,0.0,126.168,0.0,0.0,0.0,0.0,0.0,0.0,40.98466666666666,84.9895840056255,14.817559523809523,45.79640923895742
2006-12-24 16:00:00,63.618,4.22,243.76666666666668,12.695238095238096,412.0,38.0,150.0,0,16,6,24,358,51,12,2006,4,1,47.476,0.0,0.0,60.616,0.0,127.682,15.825333333333333,27.41028138004664,7.9126666666666665,19.381995838062174,3.9563333333333333,13.705140690023365,42.96283333333333,84.54552543203992,14.349154761904762,45.04699787932574
2006-12-25 11:00:00,79.308,3.826,237.96875,20.8375,581.0,0.0,278.0,0,11,0,25,359,52,12,2006,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.628916666666666,15.862144753048533,12.981619047619049,43.5315232124414
2006-12-25 12:00:00,171.328,18.812,240.8985964912281,12.842105263157896,1359.0,0.0,272.0,0,12,0,25,359,52,12,2006,4,0,79.308,0.0,0.0,0.0,0.0,0.0,26.436000000000003,45.78849514889083,13.218000000000002,32.377355420107946,6.609000000000001,22.894247574445433,7.933416666666666,21.948993206417484,13.453690476190477,43.818976014069364
2006-12-25 13:00:00,97.054,3.166,240.59333333333333,13.72,1122.0,4.0,0.0,0,13,0,25,359,52,12,2006,4,0,171.328,79.308,0.0,0.0,0.0,0.0,83.54533333333335,85.7425631838315,41.77266666666667,70.95534985514949,20.886333333333337,52.57736758743483,15.072083333333333,39.83238699952224,14.473500000000001,45.46668965152691
2006-12-25 14:00:00,51.25,0.928,244.30882352941177,12.43529411764706,339.0,0.0,275.0,0,14,0,25,359,52,12,2006,4,0,97.054,171.328,79.308,0.0,0.0,0.0,115.89666666666666,48.81807723920864,57.94833333333333,70.58961020905743,28.974166666666665,56.398334401313875,19.116,43.03367080099831,15.05120238095238,45.89624502827355
2006-12-25 15:00:00,45.186,1.414,244.31384615384616,14.384615384615383,360.0,0.0,237.0,0,15,0,25,359,52,12,2006,4,0,51.25,97.054,171.328,47.476,0.0,0.0,106.544,60.59889929693448,66.49,65.05930104758272,33.245,55.943415864116254,21.251416666666668,43.31450169643123,15.356261904761904,45.96587424223705
2006-12-25 16:00:00,190.034,19.848,241.3336170212766,16.982978723404255,1645.0,0.0,0.0,1,16,0,25,359,52,12,2006,4,0,45.186,51.25,97.054,63.618,60.616,0.0,64.49666666666666,28.358032183727705,74.021,58.06239370539246,37.0105,55.01531451001951,21.156000000000002,43.25670408960501,15.62522619047619,46.00766217202694
2006-12-25 17:00:00,61.088,8.652000000000001,239.49433333333337,8.573333333333332,228.0,0.0,104.0,0,17,0,25,359,52,12,2006,4,0,190.034,45.186,51.25,0.0,315.03,0.0,95.49,81.93362542936815,105.69333333333333,61.34703798771922,52.846666666666664,68.97333969972262,26.423333333333336,54.80683809658176,16.756380952380955,47.917659305219956
2006-12-25 21:00:00,138.568,2.496,236.63888888888889,21.755555555555556,436.0,803.0,463.0,0,21,0,25,359,52,12,2006,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.38466666666667,73.82867692886458,57.937333333333335,66.94278984507908,28.968666666666667,54.94468198238048,17.12,48.02141174280965
